ChEMBL_ID,UniProt_Accession
CHEMBL207538,Q16445
CHEMBL207538,P11413
CHEMBL207538,Q96KQ7
CHEMBL207538,Q8BHJ7
CHEMBL207538,P26048
CHEMBL207538,Q8QZW7
CHEMBL207538,P50571
CHEMBL207538,Q9R0Y8
CHEMBL207538,P22723
CHEMBL207538,A2AMW3
CHEMBL207538,P62812
CHEMBL207538,Q9JLF1
CHEMBL207538,P26049
CHEMBL207538,P22933
CHEMBL207538,Q9D6F4
CHEMBL207538,P63080
CHEMBL207538,P27681
CHEMBL207538,P16305
CHEMBL207538,P14867
CHEMBL207538,P47870
CHEMBL207538,P18507
CHEMBL207538,Q6W5P4
CHEMBL207538,P28472
CHEMBL207538,P48169
CHEMBL207538,Q06278
CHEMBL207538,O35627
CHEMBL207538,P14867
CHEMBL207538,P47870
CHEMBL207538,P28472
CHEMBL207538,P48169
CHEMBL207538,P34903
CHEMBL207538,P18505
CHEMBL207538,P47869
CHEMBL207538,P31644
CHEMBL207538,Q16445
CHEMBL207538,Q9UBN7
CHEMBL207538,Q9Y253
CHEMBL207538,P28472
CHEMBL207538,P48169
CHEMBL207538,O14764
CHEMBL207538,P21728
CHEMBL207538,Q9Y6L6
CHEMBL207538,O09028
CHEMBL207538,P15431
CHEMBL207538,P18506
CHEMBL207538,P18508
CHEMBL207538,P19969
CHEMBL207538,P20236
CHEMBL207538,P23574
CHEMBL207538,P23576
CHEMBL207538,P28471
CHEMBL207538,P28473
CHEMBL207538,P30191
CHEMBL207538,P62813
CHEMBL207538,P63079
CHEMBL207538,P63138
CHEMBL207538,Q91ZM7
CHEMBL207538,Q9ES14
CHEMBL207538,P49798
CHEMBL207538,P06133
CHEMBL207538,P54132
CHEMBL207538,Q13526
CHEMBL207538,P10063
CHEMBL207538,P08220
CHEMBL207538,P20237
CHEMBL207538,P08219
CHEMBL207538,P10064
CHEMBL207538,P22300
CHEMBL207538,P0DTD1
CHEMBL207538,O00255
CHEMBL207538,Q03164
CHEMBL207538,Q9UNA4
CHEMBL207538,P16662
CHEMBL207538,Q01453
CHEMBL4173394,Q64663
CHEMBL4173394,P37840
CHEMBL4173394,Q99572
CHEMBL4173394,Q9Z1M0
CHEMBL4297185,P10275
CHEMBL4297185,P0DTD1
CHEMBL4297185,Q9UBN7
CHEMBL4297185,P08684
CHEMBL4297185,O60885
CHEMBL3989944,Q9UBN7
CHEMBL3989944,P0DTD1
CHEMBL4298128,P13569
CHEMBL1983268,Q9HCP0
CHEMBL1983268,P23458
CHEMBL1983268,P06493
CHEMBL1983268,Q8IY84
CHEMBL1983268,P36894
CHEMBL1983268,P17252
CHEMBL1983268,P06213
CHEMBL1983268,P21709
CHEMBL1983268,P08631
CHEMBL1983268,Q96Q04
